session_id,trial_id,cmd_vx,cmd_vy,cmd_wz,design_source,ramp_in_s,settle_s,measure_s,ramp_out_s,sample_rate_hz
go2-session-03,21,0.0,0.0,0.7,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-03,22,0.5,0.0,0.0,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-03,23,-0.5514060735239023,-0.20838890473268293,-0.22561833952234733,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-03,24,0.0,0.0,-0.7,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-03,25,-0.4685867427765359,-0.2273314961574069,0.3251086523757625,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-03,26,0.5760711301656484,0.1314621358302453,-0.42697522155799306,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-03,27,0.25,0.0,0.5,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-03,28,0.0,-0.25,0.0,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-03,29,-0.13601705438073697,0.08643886456949007,0.1295230097349679,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-03,30,0.3,0.0,0.0,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-03,31,-0.270616662612619,0.19882540767095902,0.2980421413094543,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-03,32,0.3222711909422379,-0.19842029660758412,-0.606303985598509,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-03,33,0.3,0.0,0.0,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-03,34,-0.3680175595678678,0.26615964887316407,-0.38101801742882124,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-03,35,-0.5685346187514322,0.03736769292705222,0.0718388026376543,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-03,36,0.4755048377944967,-0.2966751763988395,0.6843825354276227,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-03,37,-0.33601738839792583,0.10760591393690555,0.6152790834073378,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-03,38,0.25,0.0,-0.5,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-03,39,0.14309663661201288,-0.17324258235081935,0.6499528376833104,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-03,40,0.25,0.0,-0.5,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-03,41,0.024618587567993178,-0.04393347134834713,-0.3014602446648616,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-03,42,0.344421492754986,-0.08259384354008442,-0.4627466695622231,lhs,0.6,0.8,2.0,0.6,50.0
go2-session-03,43,0.3,0.0,0.0,sentinel,0.6,0.8,2.0,0.6,50.0
go2-session-03,44,-0.35,-0.15,-0.45,anchor,0.6,0.8,2.0,0.6,50.0
go2-session-03,45,-0.015876295643582394,0.2689052095150187,0.7485111333935095,lhs,0.6,0.8,2.0,0.6,50.0
