# id timestamp x y z qx qy qz qw
216 1787326203.824531 0.746634 2.005563 0.047875 0.065630 -0.121493 -0.290959 -0.946718
217 1787326203.924334 0.817304 2.060178 0.057897 0.049262 -0.120897 -0.291654 -0.947573
218 1787326204.024242 0.878497 2.122416 0.041629 0.072250 -0.118027 -0.291269 -0.946579
219 1787326204.124440 0.941261 2.174992 0.046262 0.076477 -0.113842 -0.289006 -0.947453
220 1787326204.224504 1.003022 2.223653 0.044925 0.074870 -0.107763 -0.291915 -0.947400
221 1787326204.324384 1.068295 2.282689 0.040124 0.059437 -0.103414 -0.292129 -0.948912
222 1787326204.424303 1.156081 2.332832 0.042741 0.057209 -0.125437 -0.275952 -0.951232
223 1787326205.024395 1.665409 2.309283 0.053338 -0.026966 -0.113654 0.083962 -0.989599
224 1787326205.424334 2.052800 2.222099 0.053806 -0.007548 -0.127453 0.078828 -0.988678
225 1787326205.524432 2.172036 2.205015 0.044315 0.000140 -0.143818 0.079406 -0.986413
226 1787326205.624282 2.294961 2.186875 0.049644 0.008910 -0.138667 0.081735 -0.986920
227 1787326205.724322 2.415088 2.164888 0.042748 -0.001762 -0.134617 0.076986 -0.987901
228 1787326205.824370 2.544577 2.137194 0.053326 -0.011575 -0.128110 0.074172 -0.988915
229 1787326205.924365 2.682618 2.113981 0.051096 0.002488 -0.126909 0.077636 -0.988868
230 1787326206.024447 2.834334 2.097027 0.040857 0.001971 -0.146662 0.081214 -0.985845
231 1787326206.124482 2.984252 2.074127 0.034873 0.003315 -0.128999 0.076945 -0.988649
232 1787326206.224349 3.137885 2.042181 0.029593 -0.012845 -0.135418 0.070441 -0.988198
233 1787326206.324397 3.278387 2.026695 0.023710 0.006996 -0.136323 0.074074 -0.987867
234 1787326206.424243 3.418015 2.003961 0.024593 0.004695 -0.140494 0.078590 -0.986946
235 1787326206.524505 3.558083 1.984787 0.026522 0.010759 -0.120874 0.073953 -0.989851
236 1787326206.624342 3.702046 1.956801 0.033334 -0.011103 -0.140567 0.063912 -0.987944
237 1787326206.724249 3.841248 1.936034 0.042765 0.008255 -0.132083 0.072487 -0.988550
238 1787326206.824431 3.956647 1.906478 0.048557 -0.014860 -0.147297 0.095900 -0.984320
239 1787326206.924508 4.041515 1.871729 0.048157 -0.000154 -0.158036 0.140744 -0.977351
240 1787326207.524537 4.402610 1.737428 0.066583 -0.000594 -0.126671 0.193853 -0.972818
241 1787326207.624306 4.503175 1.695322 0.071462 -0.017335 -0.126464 0.186957 -0.974040
242 1787326207.724308 4.606716 1.652803 0.078237 -0.008678 -0.113144 0.190397 -0.975127
243 1787326207.824482 4.721649 1.600514 0.066765 -0.021741 -0.145573 0.194580 -0.969781
244 1787326208.024288 4.969605 1.489565 0.066529 -0.025699 -0.136024 0.186054 -0.972739
245 1787326208.224418 5.217648 1.370938 0.066239 -0.020504 -0.152169 0.191009 -0.969505
246 1787326208.324308 5.330976 1.316187 0.075544 -0.013758 -0.139569 0.204943 -0.968674
247 1787326208.424440 5.431206 1.261902 0.072134 0.000914 -0.131659 0.245608 -0.960386
248 1787326208.524410 5.499963 1.210754 0.074375 -0.030222 -0.137156 0.282749 -0.948856
249 1787326209.224363 5.610694 0.666036 0.094183 -0.086276 -0.090734 0.717583 -0.685126
250 1787326209.924261 5.189448 0.251241 0.071194 -0.132358 -0.046747 0.921324 -0.362571
251 1787326210.024274 5.123064 0.192622 0.077850 -0.125183 -0.038172 0.923501 -0.360579
252 1787326210.124349 5.039324 0.120925 0.065553 -0.131101 -0.052006 0.922568 -0.359133
253 1787326210.224286 4.968776 0.053463 0.077183 -0.124040 -0.058641 0.923886 -0.357226
254 1787326210.324433 4.889623 -0.022657 0.073497 -0.108633 -0.054093 0.924642 -0.360984
255 1787326210.424300 4.794501 -0.107754 0.071675 -0.132854 -0.049695 0.919343 -0.367000
256 1787326210.524254 4.697061 -0.196756 0.075470 -0.113749 -0.052556 0.922295 -0.365611
257 1787326210.624214 4.590063 -0.285085 0.068875 -0.138600 -0.058982 0.921418 -0.358191
258 1787326210.724260 4.500219 -0.356883 0.071294 -0.126524 -0.055810 0.928870 -0.343625
259 1787326210.824454 4.415589 -0.405836 0.063962 -0.122916 -0.050004 0.941971 -0.308352
260 1787326210.924422 4.357224 -0.445753 0.065455 -0.126067 -0.042008 0.944377 -0.300823
261 1787326211.324303 4.037632 -0.685450 0.043400 -0.132421 -0.056414 0.940363 -0.308220
262 1787326211.423386 3.958397 -0.771839 0.048399 -0.118819 -0.051486 0.941519 -0.311085
263 1787326211.524428 3.868808 -0.857738 0.040894 -0.136978 -0.066093 0.940141 -0.304965
264 1787326211.724246 3.654102 -1.002445 0.053265 -0.134398 -0.048371 0.939021 -0.312790
265 1787326211.824287 3.549638 -1.072468 0.065532 -0.125571 -0.041579 0.941112 -0.311147
266 1787326211.924435 3.440406 -1.146731 0.064028 -0.137401 -0.055613 0.940217 -0.306626
267 1787326212.024375 3.322773 -1.210326 0.075573 -0.134323 -0.055087 0.945014 -0.293037
268 1787326212.124358 3.215175 -1.257250 0.070683 -0.129322 -0.067330 0.955023 -0.258212
269 1787326212.224315 3.119907 -1.284995 0.076941 -0.132283 -0.035036 0.963992 -0.228021
270 1787326212.324202 3.022532 -1.323572 0.071575 -0.131298 -0.047638 0.965497 -0.219789
271 1787326212.524464 2.821625 -1.402077 0.070809 -0.122629 -0.048210 0.965038 -0.226583
272 1787326212.624277 2.709646 -1.456245 0.056274 -0.127536 -0.046786 0.963894 -0.229030
273 1787326212.724303 2.602409 -1.508492 0.057553 -0.132924 -0.043387 0.966536 -0.215074
274 1787326212.824267 2.506598 -1.551659 0.051152 -0.141261 -0.030098 0.973536 -0.177111
275 1787326213.524354 1.928884 -1.440735 0.051399 -0.131265 0.007438 0.988086 0.080000
276 1787326213.624421 1.823076 -1.425985 0.059573 -0.130682 0.016583 0.988513 0.074088
277 1787326213.724360 1.709166 -1.414799 0.053386 -0.135874 -0.003754 0.987925 0.074357
278 1787326213.824384 1.595039 -1.395297 0.050827 -0.146074 -0.007254 0.985906 0.081235
279 1787326213.924507 1.479727 -1.373826 0.049973 -0.125811 -0.002220 0.989163 0.075653
280 1787326214.024428 1.351209 -1.351684 0.045022 -0.141392 0.015314 0.987523 0.067615
281 1787326214.124362 1.234715 -1.328710 0.055615 -0.127066 0.003522 0.989294 0.071688
282 1787326214.224365 1.107000 -1.304223 0.049808 -0.154476 0.006041 0.985088 0.075511
283 1787326214.424339 0.843994 -1.248712 0.047402 -0.146856 0.009002 0.986683 0.069352
284 1787326214.524448 0.718622 -1.233016 0.053612 -0.132671 -0.002993 0.988576 0.071458
285 1787326214.724461 0.473390 -1.203357 0.051051 -0.124870 -0.009413 0.989900 0.066455
286 1787326214.824438 0.344590 -1.197230 0.038143 -0.143517 -0.016637 0.988759 0.038493
